Index,ari,name,verse,title
1,1:1:1,Canticle 1:1,"O COME, let us | sing unto the Lord : let  us  heartily  rejoice in the | strength of | our sal- | vation.","VENITE, EXULTEMUS DOMINO"
2,1:1:2,Canticle 1:2,Let us come before His | presence with | thanksgiving : and show ourselves | glad in | Him with | psalms.,"VENITE, EXULTEMUS DOMINO"
3,1:1:3,Canticle 1:3,For the | Lord Is a I great God: and a great | King a-| bove all | gods.,"VENITE, EXULTEMUS DOMINO"
4,1:1:4,Canticle 1:4,In His hand are all the corners | of the | earth : and the | strength of the | hills is His | also.,"VENITE, EXULTEMUS DOMINO"
5,1:1:5,Canticle 1:5,"The sea is | His, and He | made it: and His | hands pre- | pared the dry | land.","VENITE, EXULTEMUS DOMINO"
6,1:1:6,Canticle 1:6,"O come, let us | worship, and fall | down : and kneel be- | fore the | Lord our | Maker.","VENITE, EXULTEMUS DOMINO"
7,1:1:7,Canticle 1:7,"For He is the | Lord our | God : and we are the people of His | pasture, and the | sheep of His | hand.","VENITE, EXULTEMUS DOMINO"
8,1:1:8,Canticle 1:8,"To-day if ye will hear His voice, harden | not your | hearts : as in the provocation, and as In the day of temp- | tation | in the | wilderness;","VENITE, EXULTEMUS DOMINO"
9,1:1:9,Canticle 1:9,"When your fathers | tempted | Me : proved | Me, and | saw My | works.","VENITE, EXULTEMUS DOMINO"
10,1:1:10,Canticle 1:10,"Forty years long was I grieved with this gener- | ation, and | said : it is a people that do err In their hearts, for tbey 1 have not | known My | ways.","VENITE, EXULTEMUS DOMINO"
11,1:2:1,Canticle 2:1,"WE   praise | Thee,   O | God : we acknowledge | Thee to | be the | Lord.",TE DEUM LAUDAMUS
12,1:2:2,Canticle 2:2,All the | earth doth | worship Thee:  the | Father | ever- | lasting.,TE DEUM LAUDAMUS
13,1:2:3,Canticle 2:3,"To Thee all angels | cry a- | loud :  the heavens, and | all the | powers there- | in.",TE DEUM LAUDAMUS
14,1:2:4,Canticle 2:4,"To Thee | cherubin, and | sera-phin : con- | tinual- | ly do | cry,",TE DEUM LAUDAMUS
15,1:2:5,Canticle 2:5,"Holy, | holy, | holy : Lord | God of | Saba- | oth;",TE DEUM LAUDAMUS
16,1:2:6,Canticle 2:6,Heaven and | earth are | full : of the | majesty | of Thy | glory.,TE DEUM LAUDAMUS
17,1:2:7,Canticle 2:7,The glorious company of the a- | postles | praise Thee:,TE DEUM LAUDAMUS
18,1:2:8,Canticle 2:8,The goodly fellowship | of the | prophets | praise Thee.,TE DEUM LAUDAMUS
19,1:2:9,Canticle 2:9,The noble army of | martyrs | praise Thee:,TE DEUM LAUDAMUS
20,1:2:10,Canticle 2:10,The holy Church throughout | all the | world doth ac- | knowledge Thee;,TE DEUM LAUDAMUS
21,1:2:11,Canticle 2:11,The | Fa- | ther : of an | Infinite | majes- | ty;,TE DEUM LAUDAMUS
22,1:2:12,Canticle 2:12,"Thine honourable, true and | only | Son :",TE DEUM LAUDAMUS
23,1:2:13,Canticle 2:13,"Also the | Holy | Ghost the | Com- | forter.	

CHANGE",TE DEUM LAUDAMUS
24,1:2:14,Canticle 2:14,Thou art the King of | Glory O | Christ:,TE DEUM LAUDAMUS
25,1:2:15,Canticle 2:15,Thou art the ever-| lasting | Son  of the | Father.,TE DEUM LAUDAMUS
26,1:2:16,Canticle 2:16,When Thou tookest upon Thee to de- | liver | man : Thou didst not ab- | hor the | Virgin's | womb.,TE DEUM LAUDAMUS
27,1:2:17,Canticle 2:17,When Thou hadst overcome the | sharpness of  death : Thou  didst open the Kingdom of | Heaven  to | all be- | lievers.,TE DEUM LAUDAMUS
28,1:2:18,Canticle 2:18,Thou sittest at the right | hand of | God : in the | glory | of the Father.,TE DEUM LAUDAMUS
29,1:2:19,Canticle 2:19,We believe that Thou shalt come to | be our | Judge :,TE DEUM LAUDAMUS
30,1:2:20,Canticle 2:20,"We therefore pray Thee, help Thy servants, whom Thou hast re- | deemed with Thy | precious | blood.",TE DEUM LAUDAMUS
31,1:2:21,Canticle 2:21,"Make them to be numbered | With Thy | saints : in | glory | ever- | lasting.

CHANGE",TE DEUM LAUDAMUS
32,1:2:22,Canticle 2:22,"O Lord, save Thy people and | bless Thine | heritage ;",TE DEUM LAUDAMUS
33,1:2:23,Canticle 2:23,Govern them and | lift them | up for | ever.,TE DEUM LAUDAMUS
34,1:2:24,Canticle 2:24,Day by day we | magnify | Thee :,TE DEUM LAUDAMUS
35,1:2:25,Canticle 2:25,And  we worship Thy | name -ever | world without | end.,TE DEUM LAUDAMUS
36,1:2:26,Canticle 2:26,"Vouchsafe, O Lord, to keep us this | day without | sin :",TE DEUM LAUDAMUS
37,1:2:27,Canticle 2:27,"O Lord, have mercy up- | on us, have | mercy up- | on us.",TE DEUM LAUDAMUS
38,1:2:28,Canticle 2:28,"O Lord, let Thy mercy lighten upon us as our | trust is in | Thee :",TE DEUM LAUDAMUS
39,1:3:1,Canticle 3:1,"O ALL ye works of the Lord,|
bless   ye   the | Lord : 
| Praise Him, and | magnify | Him for | ever.","BENEDICITE, OMNIA OPERA"
40,1:3:2,Canticle 3:2,"O ye angels of the Lord, | bless ye the | Lord : 
I Praise Him, and | magnify | Him for | ever.","BENEDICITE, OMNIA OPERA"
41,1:3:3,Canticle 3:3,"O ye heavens, | bless ye the | Lord : 
| Praise Him, and | magnify | Him for | ever.","BENEDICITE, OMNIA OPERA"
42,1:3:4,Canticle 3:4,"O ye sun, moon and stars, | bless ye the | Lord : 
| Praise Him, and | magnify | Him for | ever.","BENEDICITE, OMNIA OPERA"
43,1:3:5,Canticle 3:5,"O ye winter and summer, | bless ye the | Lord : 
| Praise Him, and | magnify | Him for | ever.","BENEDICITE, OMNIA OPERA"
44,1:3:6,Canticle 3:6,"O ye nights and days, I bless ye the | Lord : 
| Praise Him, and I magnify | Him for | ever.","BENEDICITE, OMNIA OPERA"
45,1:3:7,Canticle 3:7,"O let the earth | bless the | Lord I Yea, 
let it | praise Him. and I magnify | Him for | ever.","BENEDICITE, OMNIA OPERA"
46,1:3:8,Canticle 3:8,"O ye seas and floods, I bless ye the | Lord : 
| Praise Him, and I magnify | Him for | ever.","BENEDICITE, OMNIA OPERA"
47,1:3:9,Canticle 3:9,"O all ye that move in the waters, 
I bless ye the | Lord : | Praise Him, 
and | magnify | Him for | ever.","BENEDICITE, OMNIA OPERA"
48,1:3:10,Canticle 3:10,"O ye fowls of the air, | bless ye the | Lord : 
| Praise Him, and | mag-nify | Him for | ever.","BENEDICITE, OMNIA OPERA"
49,1:3:11,Canticle 3:11,"O ye beasts and cattle, | bless ye the | Lord : 
| Praise Him, and | mag-nify | Him for | ever.","BENEDICITE, OMNIA OPERA"
50,1:3:12,Canticle 3:12,"O ye children of men, | bless ye the | Lord : 
| Praise Him, and | magnify | Him for | ever.","BENEDICITE, OMNIA OPERA"
51,1:3:13,Canticle 3:13,"O ye servants of the Lord, | bless ye the | Lord : 
| Praise Him, and I magnify | Him for | ever.","BENEDICITE, OMNIA OPERA"
52,1:3:14,Canticle 3:14,"O ye souls of the righteous, I bless ye the | Lord : 
| Praise Him, and | magnify | Him  for | ever.","BENEDICITE, OMNIA OPERA"
53,1:4:1,Canticle 4:1,"THE strain upraise  of Joy and
praise,   Halle- | lujah. | To  the
glory of their King, shall the ransomed | 
people sing | Halle- | lujah, | Halle- | lujah.",CANTEMUS CUNCTI
54,1:4:2,Canticle 4:2,"And the choirs that | dwell on high | 
shall re-echo | through the sky | 
Halle- | lujah, | Halle- | lujah.",CANTEMUS CUNCTI
55,1:4:3,Canticle 4:3,"They in the rest of para-| dise who | dwell, 
the blessed ones, with joy the | chorus swell, 
| Halle- | lujah, | Halle- | lujah.",CANTEMUS CUNCTI
56,1:4:4,Canticle 4:4,"The planets beaming on their | heavenly way, 
| the shining constellations | join, 
and say | Halle- | lujah, | Halle- | lujah.",CANTEMUS CUNCTI
57,1:4:5,Canticle 4:5,"Ye clouds that onward sweep, 
ye winds on | pinions light, | ye thunders, 
echoing loud and deep, ye lightnings | wildly bright, 
| in sweet con- | sent unite | your Halle- | lujah.",CANTEMUS CUNCTI
58,1:4:6,Canticle 4:6,"Ye floods and ocean billows, ye storms and | winter snow, 
| ye days of cloudless beauty, hoar-frost and | summer glow, 
| ye groves that wave In spring, and glorious | forests, sing 
| Halle- | lujah.",CANTEMUS CUNCTI
