Index,ari,name,verse,title
1,1:1:1,CAN 1:1,". MEENYA ngyiramá apem matow ndwom
Meyi mo Pomfò ayɛw,
Makamfo me Hen N'enyimnyam,
N'adom no konyimdzi.","Charles Wesley, 1707-88."
2,1:1:2,CAN 1:2,". Mo Wùra dɔyɛfo, me Nyankopon,
Boa m' ma mombɔ dawur,
Memfa Wo dzin n'enyidzi no
Mentahye mbea nyina.","Charles Wesley, 1707-88."
3,1:1:3,CAN 1:3,". Jesus! dzin a otu hen suro,
Ͻma ’werɛhow b՝ᴐ adze;
Ͻyɛ sanku wo abᴐn asom’,
Ͻyε nkwa nye asomdwee.","Charles Wesley, 1707-88."
4,1:1:4,CAN 1:4,". Ɔkasa, na wotsie Ne ndze a,
Ewufo nya nkwa bio,
Akoma wѐrɛhonyi dzi dɛw,
Hianyi bùrobùro gye dzi.","Charles Wesley, 1707-88."
5,1:1:5,CAN 1:5,". Odwuruw bᴐn no tum koraa,
Otu daduanyi duam';
No bᴐgyaa tum san fifo ho,
Odzii nyim maa mo so.","Charles Wesley, 1707-88."
6,1:2:1,CAN 2:1,". NYIMPA a hom wᴐ wiadze nyina,
Hom mfa enyigye ndze ntow ndwom:
Hom mfa nyi Nyankopᴐn ayεw;
Hom mbra N'enyim hom mbedzi dεw.","William Kethe, d. 1593."
7,1:2:2,CAN 2:2,". Ewuradze yε Nyame ampa;
Ͻnoara na ᴐyεε hεn;
Yεyε Nedze, ᴐnyεn hεn daa;
N’edzidzibea do nguan nye hεn.","William Kethe, d. 1593."
8,1:2:3,CAN 2:3,". O hom nhεn N'aponkεse mu;
Hom mbedzi dεw N'abanguado;
Hom nyhira N', nyi Ne dzin ayεw;
Na hεn Nyame fata ndaase:","William Kethe, d. 1593."
9,1:2:4,CAN 2:4,". Osiandε Ewuradze yε pa;
N'ehumbᴐbᴐr so tsim hᴐ daa;
No nokwardzi si pi ampa,
Na ᴐnnkᴐbᴐ adze ara da.	Amen.","William Kethe, d. 1593."
10,1:3:1,CAN 3:1,". WI n‘ase a ɔno dze nyina
Mma Bɔfo n‘ N'ayɛyi mfow sor: 
	Hallejuia !

Gyirama biara ntow Pomfo n'
Ne dzin ho ndwom wo beebiara:
	Halleluja !","Isaac Watts, 1674 -1748"
11,1:3:2,CAN 3:2,". Nyame, W’ehumbɔbɔr tsim daa;
Onnyiewiei nokwar dwir W'asɛm: 
	Hallelujah!

W‘ayɛyi bɛgyegye mbea nyina,
Kɛpem dɛ ewia nnkɔtɔ bio:
	Halleluia!","Isaac Watts, 1674 -1748"
12,1:4:1,CAN 4:1,". DOMANKOMA ! Wo sor tsebea
Yɛ fɛw dɛ mbrɛ osɛ Nyame:
Ɔtra wimuwimu n'ekyir noho.
Mbrɛ nworaba wɔkɔ aprɔw.","Isaac Watts, 1674 -1748"
13,1:4:2,CAN 4:2,". Bɔfopanyin rotow W'Ndwom a.
N'enyim suma n'atsaban mu;
Ahotsewfo a woetwa ehyia.
Bom famu wɔ hɔ nyina som Wo.","Isaac Watts, 1674 -1748"
14,1:4:3,CAN 4:3,". Nyame, dɛtse na nso nyɛ dɛn?
Hɛn so yɛbɔsom hen Bɔfo:
Yefi bɔn na huntuma m'frɛ Wo
Kɛse, Kronkronyi, Abɔso.","Isaac Watts, 1674 -1748"
15,1:4:4,CAN 4:4,". Wɔatse Wo nka wɔ ekyirkyir,
Mbɔtoaba esua Wo dzin bɔ;
Na Wo nyansaa N'enyimnyam no
Ma hen adwen nyina tɔ sin.","Isaac Watts, 1674 -1748"
16,1:5:1,CAN 5:1,". HOM nkotow Hen nyimnyamfo a ɔwɔ sor;
Mfa ndaase nkamfo No tum nye No dɔ;
Hɛn kyɛm nye hɛn Gyefo, Mbersantsen Panyin,
Ahoɔfɛw nye No buw, ayɛyi abɔ N' do.","Robert Grant, 1783-1838."
