Index,ari,name,verse,title
1,1:1:1,MHB 1:1,". MEENYA ngyiramá apem matow ndwom
Meyi mo Pomfò ayɛw,
Makamfo me Hen N'enyimnyam,
N'adom no konyimdzi.","Charles Wesley, 1707-88."
2,1:1:2,MHB 1:2,". Mo Wùra dɔyɛfo, me Nyankopon,
Boa m' ma mombɔ dawur,
Memfa Wo dzin n'enyidzi no
Mentahye mbea nyina.","Charles Wesley, 1707-88."
3,1:1:3,MHB 1:3,". Jesus! dzin a otu hen suro,
Ͻma ’werɛhow b՝ᴐ adze;
Ͻyɛ sanku wo abᴐn asom’,
Ͻyε nkwa nye asomdwee.","Charles Wesley, 1707-88."
4,1:1:4,MHB 1:4,". Ɔkasa, na wotsie Ne ndze a,
Ewufo nya nkwa bio,
Akoma wѐrɛhonyi dzi dɛw,
Hianyi bùrobùro gye dzi.","Charles Wesley, 1707-88."
5,1:1:5,MHB 1:5,". Odwuruw bᴐn no tum koraa,
Otu daduanyi duam';
No bᴐgyaa tum san fifo ho,
Odzii nyim maa mo so.","Charles Wesley, 1707-88."
6,1:1:6,MHB 1:6,". Hom bᴐn nyina da Jesus do;
Wokum Nyame Eguambaa,
Wɔdze Ne kra so bɔɔ afɔr
Maa obiara ne kra.","Charles Wesley, 1707-88."
7,1:2:1,MHB 2:1,". NYIMPA a hom wᴐ wiadze nyina,
Hom mfa enyigye ndze ntow ndwom:
Hom mfa nyi Nyankopᴐn ayεw;
Hom mbra N'enyim hom mbedzi dεw.","William Kethe, d. 1593."
8,1:2:2,MHB 2:2,". Ewuradze yε Nyame ampa;
Ͻnoara na ᴐyεε hεn;
Yεyε Nedze, ᴐnyεn hεn daa;
N’edzidzibea do nguan nye hεn.","William Kethe, d. 1593."
9,1:2:3,MHB 2:3,". O hom nhεn N'aponkεse mu;
Hom mbedzi dεw N'abanguado;
Hom nyhira N', nyi Ne dzin ayεw;
Na hεn Nyame fata ndaase:","William Kethe, d. 1593."
10,1:2:4,MHB 2:4,". Osiandε Ewuradze yε pa;
N'ehumbᴐbᴐr so tsim hᴐ daa;
No nokwardzi si pi ampa,
Na ᴐnnkᴐbᴐ adze ara da.	Amen.","William Kethe, d. 1593."
11,1:3:1,MHB 3:1,". AMANAMAN, hom mfa dew nkotow 
Jehova ahengua huuhu enyim;
Hom nhu Ewuradze nko dɛ Nyame;
Ɔno na ɔbɔ na ono na Osɛɛ.","Isaac Watts, 1674 -1748"
12,1:3:2,MHB 3:2,". N'ahentum no, onnhia hɛn mboa;
Ɔdze dɛtse nween hɛn nyimpa.
Yɛtse dɛ nguan a yɛtɔɔ gon n';
Ɔdze hɛn baa nguankuw n'mu bio.","Isaac Watts, 1674 -1748"
13,1:3:3,MHB 3:3,". Yɛdze ndaase ndwom fum W'apon m',
Yɛma hɛn ndze do wɔ sorsor,
Na asaase dze ngyirama ɔpedu,
Dze ayeyi hyɛ W'abangua ma.","Isaac Watts, 1674 -1748"
14,1:3:4,MHB 3:4,". W'ahyɛdze tserɛw tse dɛ wiadze
Wo dɔ so kodu mbersantsen,
Wo nokwar betsim dɛ botan,
Kodu Mbersantsen mfesantsen.","Isaac Watts, 1674 -1748"
15,1:4:,MHB 4:,"W‘ayɛyi bɛgyegye mbea nyina,
Kɛpem dɛ ewia nnkɔtɔ bio:
	Halleluia!","Isaac Watts, 1674 -1748"
16,1:4:,MHB 4:,"Gyirama biara ntow Pomfo n'
Ne dzin ho ndwom wo beebiara:
	Halleluja !","Isaac Watts, 1674 -1748"
17,1:4:1,MHB 4:1,". WI n‘ase a ɔno dze nyina
Mma Bɔfo n‘ N'ayɛyi mfow sor: 
	Hallejuia !","Isaac Watts, 1674 -1748"
